Rank,Country,Price To Income Ratio,Gross Rental Yield City Centre,Gross Rental Yield Outside of Centre,Price To Rent Ratio City Centre,Price To Rent Ratio Outside Of City Centre,Mortgage As A Percentage Of Income,Affordability Index
1,Syria,112.2,2.5,3.8,39.4,26.3,1674.2,0.1
2,Ethiopia,50.3,6.0,4.4,16.6,22.6,811.5,0.1
3,Cuba,47.8,23.5,28.5,4.3,3.5,554.4,0.2
4,Cameroon,43.2,8.7,10.5,11.5,9.5,825.9,0.1
5,Sri Lanka,39.1,3.1,1.9,31.8,51.5,734.1,0.1
6,Nepal,33.3,2.0,1.9,51.1,52.4,480.5,0.2
7,Hong Kong (China),30.0,1.9,2.0,53.5,49.8,218.0,0.5
8,China,29.4,1.7,1.8,57.9,55.9,224.9,0.4
9,Thailand,26.1,3.0,3.2,33.2,31.5,217.1,0.5
10,Philippines,25.8,2.9,3.0,34.9,33.4,245.2,0.4
11,Lebanon,24.3,4.9,6.3,20.4,15.9,288.8,0.3
12,Iran,23.4,5.2,5.8,19.2,17.2,526.7,0.2
13,Vietnam,22.6,3.3,3.8,30.6,26.1,263.6,0.4
14,South Korea,20.7,1.2,1.2,84.8,84.7,159.7,0.6
15,Taiwan,20.0,1.4,1.8,69.9,56.8,120.1,0.8
16,Argentina,19.6,3.6,3.4,27.8,29.1,1112.6,0.1
17,Singapore,18.7,3.0,3.4,33.7,29.6,130.7,0.8
18,Algeria,18.7,2.8,3.1,35.1,31.8,166.3,0.6
19,Colombia,18.4,5.2,5.2,19.3,19.3,,
20,Peru,18.3,5.8,4.6,17.2,21.6,215.0,0.5
21,Armenia,18.3,5.8,7.9,17.3,12.6,286.0,0.3
22,Indonesia,17.3,5.2,5.5,19.4,18.0,188.9,0.5
23,Serbia,17.1,4.0,4.1,25.3,24.3,159.6,0.6
24,Dominican Republic,16.9,6.4,5.8,15.6,17.3,230.7,0.4
25,Chile,16.4,4.6,3.8,21.9,26.4,132.3,0.8
26,Venezuela,16.4,8.3,6.7,12.0,14.9,404.0,0.2
27,Brazil,16.3,4.7,4.6,21.4,21.8,199.7,0.5
28,Russia,16.0,4.3,4.1,23.5,24.6,209.0,0.5
