Rank,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
1,Luxembourg,219.3,182.5,65.7,75.3,62.4,8.9,27.2,23.3,82.6
2,Netherlands,207.5,124.9,73.6,79.3,63.1,7.7,23.5,21.4,87.0
3,Denmark,205.6,127.2,73.9,78.5,72.3,6.6,27.8,20.8,83.7
4,Oman,204.3,139.8,81.8,65.1,42.4,2.9,21.0,35.0,67.2
5,Switzerland,204.0,158.7,73.9,71.7,101.1,10.4,32.9,23.3,82.0
6,Finland,199.9,118.0,73.8,77.5,63.2,8.4,25.8,11.9,61.1
7,Iceland,199.7,120.3,74.6,67.7,83.0,6.1,21.3,16.0,68.8
8,Austria,190.8,102.4,70.6,77.2,65.1,11.0,23.9,21.2,81.8
9,Norway,189.0,114.7,67.1,76.0,76.0,7.8,26.4,18.2,60.0
10,Sweden,186.7,122.6,51.7,68.3,59.3,7.7,29.1,17.7,73.6
11,Australia,185.5,127.4,52.8,73.1,70.2,8.4,38.0,27.0,93.8
12,United States,185.1,142.3,50.8,68.0,70.4,3.3,33.0,36.5,80.4
13,Germany,185.0,120.2,61.0,72.0,62.2,9.4,30.0,28.7,82.0
14,New Zealand,184.4,121.0,52.1,68.6,64.6,8.8,33.2,26.3,95.5
15,Japan,183.8,117.0,77.3,79.7,46.1,11.3,40.6,38.5,85.3
16,Estonia,183.5,80.4,76.4,75.9,52.0,11.2,21.8,17.0,64.3
17,Qatar,182.9,161.1,84.0,73.4,51.3,5.2,29.1,60.0,36.0
18,Spain,180.8,92.1,64.2,77.7,47.3,8.3,26.5,35.4,91.7
19,Slovenia,177.7,80.9,76.4,66.3,49.9,12.5,25.2,22.0,76.1
20,United Arab Emirates,177.5,127.9,84.4,70.4,55.8,3.9,36.2,48.2,47.1
21,Croatia,172.1,75.0,74.4,65.0,45.5,12.8,25.8,30.8,89.2
